hikeID,hike_name,region,distance_kms,elevation_mts,difficulty_level,stars,num_reviews,user_ratings,route_type_De punto a punto,route_type_Ida y vuelta,dog_friendly,kid_friendly,camping,trekking,near_water,mountain_biking,great_views,bird_watching,climbing,forests,trail_running,historic_place
210,Santa Catarina River Trail ,nuevo león,54.4,566.0,2,5.0,1,[{'Douglas Serrano': '5'}],0,1,0,1,0,1,1,1,1,1,0,1,1,0
100,El Ocotal Loop,ciudad de méxico,3.7,111.0,2,4.3,4,"[{'Miguel Espinoza': '4'}, {'Pablo Santos': '5'}, {'saul arizmendi martinez': '5'}, {'ELI BERLIN': '3'}]",0,0,1,0,0,1,0,0,0,0,0,1,1,0
132,Liz'a Arroyo Crossing to Fig Tree Trail,baja california sur,1.6,24.0,1,5.0,1,[{'Midori Midori': '5'}],0,1,0,0,0,1,0,0,1,1,0,0,0,0
225,Sierra Chincua,michoacán,4.2,180.0,1,5.0,1,[{'Alex Lusak': '5'}],0,1,0,0,0,1,0,0,1,1,0,1,0,0
239,Todos Santos Sugar Port Trail,baja california sur,6.9,268.0,2,4.7,15,"[{'Kathryn User': '4'}, {'Cy Wakeman': '5'}, {'Kha Hoang': '5'}, {'Adventure A.': '5'}, {'Rosina Ebneter': '4'}, {'Doug Garman': '5'}, {'Steph Gregerson': '5'}, {'Bill Crain': '5'}, {'Neset Pirkul': '5'}, {'Alicia Carr': '4'}, {'Andrea Mota': '4'}, {'Chris Lankford': '5'}, {'Heather Mastakas': '5'}, {'Eric Howery': '4'}, {'Bill Crain': '5'}]",0,1,1,1,0,1,0,1,1,0,1,0,1,1
80,Costa Azul Canyon,baja california sur,4.7,84.0,1,4.0,5,"[{'Todd Boley': '5'}, {'Sebastian  Perezpavon': '5'}, {'Sebastian  Perezpavon': '5'}, {'Fernando Soto': '3'}, {'Xerchx Leon': '2'}]",0,1,1,1,0,1,0,0,1,1,0,0,1,0
234,The Lioness Waterfall ,ciudad de méxico,8.9,522.0,2,5.0,1,[{'Julien Blaise': '5'}],0,1,0,0,0,1,0,1,1,1,0,1,1,0
128,Laguna Zempoala,estado de méxico,4.5,265.0,1,5.0,1,[{'Katherine Fisher': '5'}],0,1,0,0,0,1,1,0,1,0,0,0,0,0
24,Brecha El Empalme,nuevo león,13.4,725.0,2,5.0,1,[{'Douglas Serrano': '5'}],0,0,0,0,0,0,0,1,1,1,0,1,0,0
145,Mirador Picacho,baja california,8.4,369.0,1,5.0,4,"[{'Lou Zar': '5'}, {'Clau Esco': '5'}, {'Donna Miller': '5'}, {'Gustavo Pelosi Ambrozio': '5'}]",0,1,0,0,0,1,0,0,1,1,0,1,0,0
203,Ruta Escuelas via Misión Taraumara,chihuahua,7.1,223.0,1,5.0,1,[{'David Covarrubias': '5'}],0,1,1,0,0,1,0,0,1,1,0,1,1,0
0, Ruta Escénica Isla Cozumel,quintana roo,44.1,835.0,2,4.0,3,"[{'John Miller': '4'}, {'Cecilia Rodriguez': '5'}, {'edgar lorenzana': '3'}]",1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,Cascada de Tamasopo via Paso Ancho,san luis potosí,5.1,89.0,2,3.0,2,"[{'Alicia Watt': '1'}, {'Jorge Carrillo': '5'}]",0,1,0,0,0,1,1,1,1,1,0,1,0,0
64,Cerro del Mirador,nuevo león,7.6,432.0,2,5.0,1,[{'Carmen Equihua': '5'}],0,1,0,0,0,1,0,1,1,1,0,0,0,0
104,El Salto Canyon Trail,baja california,7.9,380.0,3,4.0,4,"[{'Nikole Hendricks': '4'}, {'Fer Ramos': '5'}, {'Melissa Basso': '4'}, {'John Dill': '3'}]",0,0,0,0,1,1,1,0,1,0,1,0,0,0
44,Cerrito de La Cruz,jalisco,1.0,82.0,1,5.0,3,"[{'Victor Correa': '5'}, {'Gloria Hernandez': '5'}, {'Gloria Hernandez': '5'}]",0,1,0,0,0,1,0,0,1,0,0,0,1,0
41,Cañon de La Zorra,baja california sur,3.2,102.0,2,4.8,10,"[{'Dori Per': '5'}, {'Jen Gubrud': '4'}, {'Dale Borgeson': '5'}, {'Rosina Ebneter': '5'}, {'Yasmin Karimi': '5'}, {'Alex Baum': '5'}, {'Cameron Martin': '5'}, {'Vittorio Callori': '5'}, {'Yannick Ménard': '4'}, {'Chris  Glass': '5'}]",0,1,0,0,0,1,1,0,0,0,0,0,1,0
184,Playa del Carmen - Climb the Pyramid at Coba,quintana roo,208.1,421.0,2,4.0,4,"[{'Julie Martinez': '5'}, {'Mp Mp': '5'}, {'S Carrizal': '1'}, {'Bryan Sandell': '5'}]",1,0,0,1,0,1,0,0,1,1,0,0,0,0
63,Cerro del Centinela,baja california,8.0,807.0,3,4.6,7,"[{'Erica Cervantes': '3'}, {'Alberto Rivera': '5'}, {'Angel Molina German': '5'}, {'Fabiola Ibarra': '5'}, {'Memo L': '5'}, {'Gaby Rodriguez': '5'}, {'Gaby Rodriguez': '4'}]",0,1,1,0,0,1,0,0,1,1,1,0,1,0
213,Santa Rita Hot Springs Loop,baja california sur,1.8,38.0,1,5.0,1,[{'Dori Per': '5'}],0,0,0,0,1,1,0,0,1,1,0,0,0,0
179,Pico del Águila,ciudad de méxico,6.0,711.0,3,4.1,9,"[{'Kamila  Zakoutska': '4'}, {'Ceci Portillo': '5'}, {'Lizeth Zertuche': '4'}, {'Daniel Després': '5'}, {'Victor Bibbins': '1'}, {'Jonas Kublickas': '5'}, {'Genesis Leang': '5'}, {'Luis Zepeda': '4'}, {'Jaime de la Fuente Valles': '4'}]",0,1,1,0,0,1,0,0,1,1,1,0,1,0
183,Playa Palmares to El Nogalito ,jalisco,6.4,234.0,2,4.5,6,"[{'Jessica Meyer': '5'}, {'Francisco S': '4'}, {'Manuel de la Serna': '3'}, {'Paula Valenzuela': '5'}, {'Leo W.': '5'}, {'Mary Bayer': '5'}]",0,1,0,0,0,1,0,0,1,0,0,1,0,0
200,Rio Florido,chihuahua,2.7,25.0,1,5.0,1,[{'Roberto Sanchez': '5'}],0,1,0,0,0,1,1,1,1,0,0,0,0,0
105,El Salto Loop,baja california,6.1,495.0,2,4.0,5,"[{'w g': '5'}, {'Cameron Birchall': '2'}, {'Michael Cimino': '3'}, {'Veronika Magana': '5'}, {'Claudia Ulloa ': '5'}]",0,0,0,0,0,1,0,0,1,1,0,0,0,0
248,Volcán Cuautzin,morelos,24.3,742.0,2,5.0,1,[{'Jose F.': '5'}],0,1,0,0,0,1,0,0,1,0,1,0,0,0
8,Ascenso a la Rumorosa,baja california,11.6,1016.0,3,5.0,1,[{'Alberto Rincon Jr': '5'}],1,0,0,0,0,1,0,0,0,0,0,0,1,0
